subject,content,copy_recipient,recipient,sender
[新聞] 陳明通學生為何可犯規？ 名醫秀證據嗆：,我就想到我朋友 明明是一個博班念兩年就休學的爛草莓 結果突然搖身一變博士 然後到處膨風自己是1.5博 該學校官方聲明沒有1.5博這種東西 就用國安問題封鎖論文30年  連台大5年就要揭露了 為何我朋友可以黑箱封鎖30年 什麼論文可以引發國安問題 好好奇啊  順帶一提 我另一個朋友會衝撞立法院 號稱反黑箱天王 要他再衝撞立法院反黑箱嗎？  -- ,金宇彬、Brendan Wang,小布,蔡光宇
[新聞] 3案齊發助理全盤托出　滅證內情曝光　高,鏡周刊真的厲害， 檢調上週四12月1日才找前助理密談， 昨天12月5日也才找資策會人員來調查， 今天就能寫出一篇調查細節的新聞。  這麼快就能洩露偵查內容也真的屌， 這根本就是偵訊完就直接全給記者了吧， 是怎樣請記者幫忙公審嗎?  那到底所謂偵查不公開這個原則是適用對象是誰啊， 我查了一下不是針對檢察官等偵查人員嗎?  ,,planet ET,楊正彥
 哪裡買的到槍？, 說真的  現在好像到處都可以拿到軍武  我想問問那邊可以購買  但這一切 其實我都是為了自保  畢竟那個雞掰妹都說要發防彈背心  怕哪天槍戰結果只有我沒槍  是有什麼管道可以取得嗎  像是有固定NPC在賣 還是什麼的  是地圖還沒解到 所以買不到？  有管道的可以私一下嗎 ----- Sent from JPTT on my iPhone  -- ,SHANG SIANG DAI,neko fake,曾啟傑
 哭啊，公司學壞了怎麼辦？,本魯記得以前我們公司 遇到選舉日還需要上班就是給雙倍薪 非常的簡單 結果上個月選舉 我們是排班制的 本魯選舉日有上班 公司直接排定本魯跟一些同事是休假日上班 算起來那一天加班費還比正常上班日雙倍薪多 因為還有加算1.33、1.66的假日加班費  但是11月過完本魯才眉頭一皺 欸幹，這樣本魯11月就少休一天假耶 算正常日的話=實上22天班：固定月薪+額外1天日薪 算休假日的話=實上23天班：固定月薪+額外時薪（1.33*2+1.66*6) 後者實際算下來，等於只多領了0.33*2+0.66*6  公司學壞了該怎麼辦QQ?  -- ,夢想JT,蝦皮,5267 435
[新聞] 偕懷孕妻登門「求救」 李四川同意出任蔣,新聞來源:聯合  記者署名:王寓中  新聞標題:偕懷孕妻登門「求救」 李四川同意出任蔣萬安小內閣副市長  新聞內容: 2022-12-06 08:32 聯合報／ 記者王寓中／即時報導  台北市長當選人蔣萬安小內閣人事就位。蔣萬安三顧茅蘆不放棄，最後打出「夫人牌」，偕 有6個月身孕的太太石舫亘再度登門「求救」，終於打動高雄市前副市長李四川，李四川昨 晚已決定擔任蔣萬安市府團隊的副市長一職。  蔣萬安鎖定的台北市副市長人選，一直就是李四川，但李四川認為已任公職近25年，現在民 間企業宏國集團，不能說走人就走人，因此再三婉拒，並且建議蔣萬安應該找年輕有能力的 新世代。  蔣萬安不放棄，不但緊迫盯人一再敦請，上周末高雄市前市長韓國瑜出席一場餐敘，蔣萬安 突然衝到現場，要韓國瑜幫忙勸李四川，韓才說完話，蔣萬安又去找李四川。  不僅如此，為了讓李四川能放心離開宏國，也為了對宏國表示歉意，蔣萬安還請出立法院前 院長王金平，讓李無後顧之憂。最後蔣萬安再偕太太石舫亘登門「求救」，要李四川無論如 何都要幫他。  李四川在選舉過程就大力輔選蔣萬安，選後一直婉拒出任北市副市長，連在捷運上碰到支持 者，都被支持者質疑選舉要大家幫忙拉票，選後為什麼不願意幫蔣萬安。  蔣萬安昨天帶著團隊與柯市府會商處理交接事宜，對於小內閣何時底定？蔣萬安再提「悶飯 說」，被柯文哲酸說「實在太好笑，會變稀飯。」  蔣萬安的不放棄，支持者的期待，柯文哲的酸言酸語，李四川都看在眼裡，幾經思考下，他 知道自己已無法拒絕，昨晚終於決定出任蔣萬安小內閣的副市長一職。  李四川預計今天會與蔣萬安會面，並且進一步商討未來台北市政團隊的首長人事。  新聞網址:,迷霧 翔、walk junny,Kevin Chen,Qiu
 有無 南美客家國《毒梟聖徒》背景 蘇利南 的八卦？,最近網飛看到韓國人在翻拍 Cho Bong-haeng 毒梟的故事，  地點在荷屬圭亞那，現在叫 蘇利南，  裡面張震好像演廢物華人黑幫領袖，被耍得團團轉，  用的方言是閩南語，  不過事實上，韓裔在 蘇利南 少到可憐根本不入統計，  趙奉亨也只是走私幾十公斤海洛因的小咖，根本沒上噸也能被韓國腦補翻拍了至少三四部大賺影視財，  華裔 人口在蘇利南 至少有 2%，還不包括兩百年來混血的  且主要為客家裔，掌握全國經濟，近九成超市為華人擁有，  廣東省客家人清朝時就當豬仔被賣去淘金，  上世紀80年代的獨立建國運動中，華裔陳亞先被背後軍閥擁成代理國父，還權於民因此被追殺逃亡  所以客家話是法定語言，中國春節還是國定假日，  到今天政府高層還很多是華人或華人混血，聽說中文普通話也多處能通，  跟對岸關係很好，中共國護照的免簽國，但台灣的要辦簽證才能去。  現在 蘇利南 政府說整部片背離事實也太多 要告南韓製作和網飛把國家描述成毒品國   有沒有 南美客家國 是不是 毒品國 的八卦？  客家人建國大概是 蘇利南 或者 苗栗 的樣子嗎？有共通點嗎？  -- ,Hao He、Paul Chen,Ruben Tsai,Su To
[新聞] 世足最暖心！日本隊長淘汰跪地啜泣　愛女,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,林義傑、盧仕其、台灣黑熊-Taiwan,Drill,鄭承嘉
[新聞] 綠營擬修選罷法排黑 名嘴嗆擋得住「這種,我持相反態度  我鼓勵黑道參選  根據經驗  沒有放在陽光下管制的東西  反而更可怕  因此與其讓他們躲在後面  不如讓他們站在檯面上接受監督  且我國刑法對於公務人員身分要求頗高  不時也都會有加重其刑的狀況出現  黑道沒選上亂搞  也許關個幾年就掰掰  選上亂搞，搞不好還能多關幾年  且根據憲法人民有參選與選舉的自由  黑道也是人民  無限上綱限縮被選舉人的資格  明顯違反憲法選舉自由的精神  而且人民都選了一堆垃圾上台了  再要選黑道  也是人民自己的自由  不需要由政府告訴我們甚麼是好，甚麼是不好     真正該禁絕的是甚麼？  銀行給黑道貸款  大企業與黑道合作  黑道炒地皮也要先拿出個幾億出來  真以為是他們的錢？  不都是貸款來的？  買空賣空，還暴利  黑道有了錢就可以透過銀彈去影響政客與政黨  所以政治獻金法必須要禁絕有刑事前科者的捐款  且不得擔任有給職與無給職之黨職(包含名譽職位)  讓政黨與黑道脫鉤  禁絕這種沒有民意基礎的職位安排影響政黨   不過仔細想想  我那麼認真討論幹嘛  擺明玩假的  我她媽就笑爛你民進黨不敢啦  -- ,Alice Cheng、威翔王、深作沒有咖啡,羅傑恩,井上清水
 聖人模式還是想幹她是真愛了吧, 誒誒又是我東南亞肥宅喇  某女同事已淪為我每天尻尻幻想的對象  就算她離職了，肥宅我還是看著她照片尻  尻完了還是心理想幹她  肥宅我這樣算不算是對她的真愛了啊  有沒有卦？  -- ,Alice Cheng、佐冬塔天,大便片供應商,古青箭
 現在防彈衣會缺貨嗎？,嗨嗨嗨 大家早安  小妹好奇的問  好像有人要送防彈衣給館館  484今年聖誕節交換禮物  流行送防彈衣啊？  畢竟自用 送人兩相宜  連防彈少年都跑去卡達唱歌  有沒有今年算是防彈衣元年  人手標配防彈衣  防彈衣會缺貨嗎？  -- ,NeetAllen,Kobe,林資堯
 台企都不通知沒面試上484很沒禮貌,汝題  我看漫畫，日本不論面試上、沒面試上都會發信通知。但是台企都不會發通知告訴你是不是 沒面試上。  明明去面試的人也不多，連通知一下都懶，台企這樣484很美禮貌啊？  有八卦嗎？  卦卦？？  -- ,台灣黑熊-Taiwan,beradzeroking,Nancy Fan
 清朝奴工去美國修鐵路誰賺最多？,美國有一段時期瘋狂建造鐵路  也造就了洛克菲勒家族的興起  不過那時候黑奴太貴了又不受控  就有人開始引進清國人當奴工  問題是這些清國人也不是傻子  美國那時候沒多香去又只能坐船  一坐船就是好幾個月誰想去  掮客必定需要給大筆的安家費  這樣算起來誰賺最多？   ----- Sent from MeowPtt on my SM-G975F   -- ,,寧波雙六,Rafina
  雷復轟到底在想什麼,  洗完學歷歸來  家裡白的都給他管了  黑的長輩也很喜歡他 他什麼都不做 也不可能輪到山雞浩南 這兩個人也沒那麼白目 有老大當就不錯了  為什麼他忽然要發神經 把那些長輩跟公司最重要的幹部都處理  這不是很不合邏輯嗎 他躺著好好做公司也不會是別人的啊 ----- Sent from JPTT on my iPhone  -- ,鄭承嘉,嚴威,人不染红尘，红尘自染人
 大家現實周遭會有很多支持日本隊嗎？,過去台灣人比較支持英格蘭跟德國，因為長得帥  然後巴西就是跳森巴，從2002年來世界盃的印象  韓國則因為2002世界盃的關係，長期不被喜歡  但近年因為KPOP強大，不少人喜歡韓國  這次世界盃，大家周遭的人大多支持哪些隊伍？  應該還是阿根廷跟英格蘭吧？還有C羅的葡萄牙  法國可能因為是上次冠軍，大家期待值沒這麼高吧？  那日本隊呢？這次踢出驚奇風采，不曉得有多少人支持？  純粹論看球而不論彩券因素的話，這次世界盃周遭人比較欣賞哪些隊伍  -- ,林玉琦、太菲鴨,赤雪羽玥,Achang
 老婆不能娶聰明又能力強的？,那如果有兩個選擇 A. 能力強在大公司當工程師年薪兩百萬女工程師 學歷也好 B. 當櫃姐 會打扮長的不錯 但是腦袋只懂得吃喝玩樂 學店畢業  要選哪一個呢  我只知道早期蠻多竹科媽媽是B這類女生 現在A這類女生很搶手  ,點點,龍王剡,高皓愷
[新聞] 台灣對黑道問題太寬鬆！矢板明夫點台日1,日本人根本不懂 好歹小英也是東瀛霸者的頂級徒弟 黑英計劃 其實也是跟師父一樣的路數 都是為了將尾大不掉的組織削弱 才能創造出真正民主主義的溫床   -- Sent from nPTT on my iPhone 12 Pro  -- ,coffee hao,黃新程,coffee hao
[新聞] 貨車併排卸貨！女騎士閃避遭輾慘死　違停,   首先說結論：,Qiu,For Lee,鄭世奇
 跟自己不喜歡的對象交往跟單身豆己,  如果不喜歡 為什麼要互相蹉跎時間呢?  為了在一起而在一起  到頭來連朋友都做不成 留下感情債  長輩會喜歡的類型  但是你喜歡她嗎 她喜歡你嗎  如果答案都是否定的  那就坦白跟長輩說 然後繼續單身  把你最值得的感情留給值得的人  (還有你的子彈)    --  夜來幽夢忽還鄉，小軒窗，正梳妝。  相顧無言，惟有淚千行。  料得年年腸斷處，  -- ,Moxingames,林資堯,溫蒂
[新聞] 錄取高普考 成大政大中興居前三,備註請放最後面 違者新聞文章刪除  1.媒體來源: ,NeetAllen,人類惡,人不染红尘，红尘自染人
[新聞] 好心被雷親！高雄男發酒瘋當街開罵女友　, 1.媒體來源:  ETTODAY  2.記者署名:  記者吳奕靖／高雄報導  3.完整新聞標題:  好心被雷親！高雄男發酒瘋當街開罵女友　下一秒…勸架阿姨被抓了  4.完整新聞內文:  高雄市一對男女在街頭吵架，,For Lee,楊梓民,葛闢藏鏡人
 補班換連假是不是弊大於利？, 明年有5個周六要補班換連假 以前沒補班換連假 10人只有1.2人會請特休來連假 有需要連假的人才會請 補班換連假缺點 1.大部份早習慣周休二日 上六天班太累 大多數都想用請特休抵掉  2.通常補班日公司很多人請特休 有上班的人閒的發慌 裝忙等下班 根本沒效率 長期來傷害產業經濟  3. 補班換連假 到那都人擠人 塞車 住宿變貴 機票變貴  4 原本周六加班錢比較多 變成你能周六加班日子變少了 淦！補班換連假是不是弊大於利？   -- ,J maximator、信浅野、台灣黑熊-Taiwan,L337,Hsin Yen Hsieh
 十點是拉屎高峰期嗎？,如題，  用電有高峰期 拉屎應該也有吧？ 早上喝的大冰奶 大概9:30-10:00也消化開始發揮作用 本肥觀察過 這時段公司的廁所最容易滿  有拉屎高峰期的卦嗎？  -- ,火龍果,蔡林翰,強襲爵士
 大學畢業後朋友就停滯了,欸欸 本肥很好奇 大學畢業後 大家的臉書跟ig好友484都停滯了 雖然接觸的人更多 但本肥都不會特別加學弟妹的私人社交軟體 我都覺得他們有自己的交友圈 我不方便打擾 想問問大家有遇到跟我一樣的處境嗎 卦 ---- Sent from ,Lucifer、威翔王,小布,許智翔
 排黑條款根本就是煙霧彈吧?,館長兩個小時的直播看下來  重點根本是白道"違法"幫黑道槍手辦特見(增見)  然後老大可以直接在裡面幫兇手橋安家費 (都有錄音譯文證據)  現在搞排黑，只是故意混淆視聽  最後開大絕說天下烏鴉一般黑  修法下去你館長就準備穿防彈衣等著吃子彈  ---  幹，為什麼不直接禁止重大槍擊案兇手辦理任何特見或增見?  如涉及有重大情事例如喬安家費，協助增建者視同共犯，必須接受檢調偵辦調查金流  請問，現在協助辦理特見或增見的，是大家口中的黑道嗎?  幹，可以幫槍手喬事的人，江湖上早就行文規訂了，還可以直接打給館長或上直播  這種排黑條款根本做做樣子  反正把事情無限上綱，大家吵成一團就甚麼都不用改了  -- ,,EN EN,阿浪
[新聞] 雞排妹：請問館長開直播拿包裹唸卡片，館粉們會覺得我是真的關心他嗎？,備註請放最後面 違者新聞文章刪除  1.媒體來源: 三立新聞 ,,狼狼&燐恩,以翔旋風
[新聞] 蔣萬安上任如履薄冰？ 游淑慧稱傻眼：柯,游這種發言真的是很低端  一般企業裡面也是一堆這種天天就是在想政治責任，沒有能力幹實事的人，每天只會炮別 人，給你自己上去做就在那邊哀爸靠母的，什麼都做不出來，失敗只會怪難度太高  第一 很多事情就事在人為  亞運可以不用辦，社宅可以不用蓋啊？別的縣市也有沒蓋幾戶就選贏的，棒球場蓋了不能 用的，看你國民黨想要怎麼做嘛，想留下什麼政績嘛   第二， 很多事情是要提前規劃準備，就算做了準備，也不一定會成功，但是沒做規劃絕對沒機會 ，比方亞運，難道有規劃就一定能爭取成功？  亞運這個東西到時侯一定還有政治成分，就算全部規劃好了，外交部分中央沒處理，中共 百般杯葛阻撓，還不是會告吹？！   第三 事情本來就有難易，社宅 都更 就是有種種困難跟壓力，財源當然是其中之一，不然其他 縣市怎麼都蓋的都不多？    這些困難的項目，不就是看你政府團隊施政能力高下的區別用的？你也可以蓋一堆蚊子館 ，蓋個活動中心掉天花板，來吹成政績啊   還是國民黨選上只想要那些簡單或是肯定做的成的項目，給你們剪采，那些難的需要克服 的，你都不用辦？  就想收割，做不成就說前朝沒規劃沒交接？  你不就又想那個光環，又覺得柯匹沒給你把屎把尿處理好，哪來的媽寶式發言？  -- ,古青箭、Hannibal Hsu,YKX _,Sousuke
